region,product,centner_hect,year
East Kazakhstan,wheat,10.6,2011
East Kazakhstan,wheat,11,2012
East Kazakhstan,wheat,14.199999999999999,2013
East Kazakhstan,wheat,12.6,2014
East Kazakhstan,wheat,11.300000000000001,2015
East Kazakhstan,wheat,13.699999999999999,2016
East Kazakhstan,wheat,11.800000000000001,2017
East Kazakhstan,wheat,15.140000000000001,2018
East Kazakhstan,wheat,16.969999999999999,2019
East Kazakhstan,wheat,13,2020
East Kazakhstan,wheat,16.5,2021
